Date,SPY_bh,AAPL_bh,MSFT_bh,GOOGL_bh,AMZN_bh,META_bh,NVDA_bh,TSLA_bh,JPM_bh,BAC_bh,WMT_bh,PG_bh,JNJ_bh,XOM_bh,CVX_bh,HD_bh,MCD_bh,KO_bh,PEP_bh,DIS_bh,NFLX_bh,ADBE_bh,CRM_bh,INTC_bh,VZ_bh,UNH_bh,portfolio_comm_0.0,portfolio_comm_0.0001,portfolio_comm_0.0005
2022-11-18,222141.20675259666,614919.9484606104,591059.8691773987,367972.7880240329,610268.3882922225,142829.81761758556,3186188.7871370786,1232433.491591253,266055.11893005855,240614.22087006524,207141.56470655958,198698.42683029725,207662.5432074089,174550.74171124617,229771.45702692488,360988.508412002,358871.33256366616,186251.0486595556,240435.9952149382,105062.87153954055,577709.6486388994,457367.98742172855,249898.77704432115,103249.58462035898,118540.50273894776,592080.1844981568,7842.695953133632,7440.885235146846,6912.174850686748
2022-11-21,221333.49764841973,601588.2665658353,593093.6441072678,361061.3042724965,599377.6820545209,140038.23963846875,3167165.627990168,1148169.1626202043,264484.7509998118,241390.6100805982,208410.09859062237,201220.991501334,208730.06429725557,172822.0647330324,227574.0719680758,365137.9961903567,360381.00384407345,189114.5779691643,245063.50290357918,111677.94328133175,571831.82365645,444415.2702645124,244513.83633691864,100034.93147748664,118755.73463133627,577769.751484732,7957.050119164516,7544.389198617305,7003.261560662944
2022-11-22,224311.94178725482,610408.3360539759,600395.5075069232,366537.62431845063,604174.764130049,142052.25148649752,3316249.2346683634,1162122.072436672,268440.521121372,242555.15317241204,209154.67856402387,202949.16802686057,209738.32321121605,177821.25100081053,233412.83671605666,374474.556748123,360696.0843044616,189937.07361244503,245090.06366332233,110110.00452673297,575121.8169728859,457395.66164382343,251941.29016164228,103076.75961420717,120539.22119083171,584360.8595317763,7864.20234656625,7457.943144158687,6926.009746774394
2022-11-23,225725.4641116388,614025.7118261266,606643.7609032053,371862.89592076174,610203.5488233843,143071.99152994656,3415708.549604579,1253020.7494272508,271303.04991544894,243331.56953226874,210161.20250440927,204105.91764353318,209963.68387398205,176933.52855786224,231341.02411090775,370590.14995398466,358740.0672546172,190790.04503679255,245408.28860706117,113165.74143462132,584771.0202493725,464169.22280575265,256988.57645359624,102558.26408402098,119678.22691258456,591756.3461515226,7865.832397225429,7461.440004662837,6932.2176554047655
2022-11-25,225675.0035943925,601994.7664324773,606423.1949550539,368086.074356765,605536.1456855324,142014.00988591483,3364221.281121453,1250695.299246012,271819.8944761949,243913.81392885192,211057.46289594469,204482.19818970558,210236.49838327133,176310.5794934941,230662.9771545614,376203.5680954137,361011.12104617903,190972.80886694667,244122.11991071553,113154.31065185402,572814.8346618994,462123.313127495,258862.2623631931,101417.5862246498,119985.74657589837,600592.6845851117,8054.873698952724,7643.348362283076,7105.372295602519
2022-11-28,222073.88420683576,586183.8453200205,592382.9956958685,362760.8027544538,609036.6856744156,138661.561638632,3272621.1027855137,1251105.6605292286,267068.97380354186,238479.14375376867,211664.13508596024,204314.95980517947,210343.27454997285,171015.52579718057,223957.80676968404,367604.7639813707,358228.0560416525,191003.27166854966,243830.4557267198,109514.86202848579,564048.2789224377,454755.34679892357,259436.19101922057,99309.03500032853,117587.28739846844,594616.2286763707,8172.552825692226,7753.100262002315,7205.227813943584
2022-11-29,221692.44359584193,573787.0815824576,588879.0887350152,359512.76702376426,599118.3736371918,139528.34509032004,3233746.882688645,1236810.852553092,271462.0701332744,239384.89949184612,210919.58810090544,202754.0449402242,208872.44588492252,172152.38781342877,227310.39196212275,364192.87769658066,356298.2483349471,190333.0900332839,242106.66471108585,108370.38953587356,563627.0048898972,451727.97252152243,256043.19125609746,99896.65506318057,117894.73294101209,589845.9745007965,8093.822177651455,7677.77293808874,7132.470203622539
2022-11-30,228675.90652014283,601669.6296112919,625167.9551439,381418.2216284162,625826.5471257995,150541.72984673534,3500139.9048780263,1331676.5292222933,274682.4727322369,244884.2936546872,210161.20250440927,207882.8283886285,211138.02122672505,173398.28594216506,230173.2667319481,375707.9212748602,360126.736054755,195149.70416232586,245978.46263847573,112009.8292219605,612916.2580114049,476817.818824124,270509.7937074591,103940.91883118414,119862.69868535695,611920.3632261695,7750.656478646328,7357.383180932368,6843.751148446758
2022-12-01,228507.64500156106,602807.7030936327,624065.3176677419,381418.2216284162,619084.6766493154,153524.53544990488,3543988.6524275905,1331676.5292222933,270825.98926197225,237855.93102768608,211471.10377523588,208008.26299603435,212015.7670266737,172557.30470526806,229143.63905205866,379279.6386484821,360932.12140806037,195701.9414097917,248033.1516782092,112833.85549399258,635825.6449706395,475684.27256240096,248143.18895021602,103111.33555502727,117863.98764555003,599799.5460771259,7571.227901223232,7182.761089639033,6676.424755319316
2022-12-02,228243.96951524628,600775.4560489364,624873.944118871,379340.9857567946,610203.5488233843,157412.34648420577,3490419.7683794964,1332770.8955538825,268679.05969177117,234797.36966492032,211264.29982976362,209903.677906087,212181.84546545616,171093.3610531871,227310.39196212275,380346.5092295578,360932.12140806037,197419.92920091868,247752.99180947753,113795.21203029559,642766.6799024259,472117.7993762332,244024.33438635254,101659.53576346747,117402.72668077186,600808.1130567447,7757.50015863194,7356.540942533693,6827.152678327089
